,0,1,2,3
0,"Reviewed 5 days ago
","Winnipeg, Canada","Went there for a school trip to the exhibit about Ancient Greece. Great art, the guides were well informed. The parts of the exhibits that were made out of Lego were probably my favourite.",5
1,"Reviewed 3 weeks ago
","Winnipeg, Canada","I have enjoyed the various exhibitions and displays over the years. The staff have been wonderful, and the gift shop has wonderful gift ideas. A Winnipeg treasure indeed !",4
2,"Reviewed 4 weeks ago
","Winnipeg, Canada","The Winnipeg Art Gallery has done a wonderful job curating pieces for the various exhibits, but by far the stand out for us was the Inuit Art Collection. It is SO exciting to see the plans for the brand new Inuit Art Centre that will begin construction soon. The WAG has over 13,000 pieces of Inuit art (the largest collection...",5
3,"Reviewed 4 weeks ago
","Winnipeg, Canada","I have attended many times to different exhibits which have been a great experience .My favourite is the Salvador DalíThe one about roman sculptures that is currently on exhibition is great.The permanent exhibits is very nice and interesting , showing pieces of art and paintings from the 1400's.The Inuit sculptures are awesome and totally worth checking...",5
4,"Reviewed 16 February 2017
",,"The WAG is always a joy to explore. I find myself drawn to it time and again, the exhibits that come in are always a joy to see. and worth spending a day at!",5
5,"Reviewed 13 February 2017
","Gimli, Manitoba",Finally made it to the Winnipeg Art Gallery for an afternoon. We particularly enjoyed the Inuit art exhibits and very much look forward to the new Inuit Art Centre. A diverse range of exhibits meant it was very easy to spend over two hours at the gallery. Love the gift shop- though it would be very easy to spend a...,5
6,"Reviewed 30 January 2017
",canada,Excellent selection of unique pieces in the gift shop. Shop from local artists and others across Canada.,5
7,"Reviewed 29 January 2017
","Winnipeg, Canada","We were given free passes to the WAG and had not been here for over a year. We have visited many of the major art galleries throughout the world and on past visits I have found that although trying hard the WAG just could not compete. Of course not like the Louvre or Met, winnipeg should still be proud of...",5
8,"Reviewed 26 January 2017
","Calgary, Canada",They amp you up on the main floor to look forward to whats upstairs like the surf and skate exhibit.... LAME. Please don't make me go back.,2
9,"Reviewed 17 January 2017
","Winnipeg, Canada",Why is it that you never do the tourist things in your home town until you have visitors come to visit. I took my niece and nephew to the art gallery this week. I was very impressed with the new exhibits. Our Land showed different techniques and artists from the north. Some of the contemporary art was very interesting. Rodin...,4
10,"Reviewed 4 January 2017
","Edmonton, Canada","Loving art I was looking forward to seeing what was in store. I was not disappointed. The first floor has some ancient tapestries that are gorgeous. Moving up to the third floor, its sectioned into various time periods. The gallery that impressed me the most was the one that contained works by the Ground of Seven. I love their work!...",5
11,"Reviewed 28 December 2016
",,"Need to add something interesting, maybe more European and Asian art. The Inuit art is interesting but takes up an entire floor and isn't very popular, need to consider expanding the place. After 30 mins, you will have seen most of the good stuff.",2
12,"Reviewed 11 December 2016
",Edmonton,"Saw a remarkable Inuit Art Exhibit including painting, textiles, beadwork, clothing, sculpture in wood and stone and traditional prints. The interpreters on-site in the evening seemed to have knowledge of specific facts about individual pieces, but not much in-depth knowledge about Inuit art - may have been volunteers. The spaces in the building are large and open and conducive to...",5
13,"Reviewed 6 November 2016
","London, United Kingdom","We visited WAG hoping to see traditional Canadian Art, however we were disappointed by the art exhibits. The range of art was limited and the displays lacked explanation.We visited the rooftop restaurant and were appalled to bite into unstoned olives hidden inside a wrap/sandwhich. There was little recognition from the staff that this was a problem.",1
14,"Reviewed 26 October 2016
","Calgary, Canada",A must see place for any art lover. If you are in the area check it out. It was easy to find and had a beautiful look about it. Great time had!,5
15,"Reviewed 27 September 2016
","Dubai, Dubai, United Arab Emirates",Inexpensive admission. Saw the Karel Funk exhibit and others but went for some funk. I got a free tour of the Funk exhibit held by a volonteer. Went around and saw all the other exhibits that were open too. Also went up to the roof for the garden roof top that has a few pieces there. The day was rainy...,5
