,0,1,2,3
0,"Reviewed 4 days ago
","Denver, Colorado","We heard about Wreck beach from the bartender of a restaurant that was at the bottom floor of a building we were staying in. The trip to Vancouver was different, usually we have a set itinerary, but this time around we asked locals for things to do and places to see. At the top of her list was Wreck beach....",5
1,"Reviewed 5 days ago
","Edmonton, Canada",Our first time to nude beach and it was interesting.....clothing is optional so don't take your kids there. And you need to go down on almost 200 stairs and go up again. If you have heart problem or high blood pressure it's too many stairs.,4
2,"Reviewed 4 weeks ago
","Miami Beach, Florida",People laying around nude baking in the sun .. you bet. Still a nice beach but there are only so many oily people you can stand before you feel like flipping them over with a pancake flipper. Nice vibe to the place as everyone is laid back.,4
3,"Reviewed 22 January 2017
","Chicago, Illinois","Access is via a long decent down a steep staircase. The ascent at the end of your day will be an exhausting test of your endurance. Fortunately you don't need much (including a swim suit). Independent vendors stroll the beach offering organic sandwiches, treats and drinks. Done with a beverage and the can will vanish by recycling gremlins within seconds....",5
4,"Reviewed 6 January 2017
","Ponoka, Canada",I knew that there was a nude beach in the Vancouver area and since I had a couple extra days before the convention I decided to check it out .It was a long wrong from the bus stop to beach I went the wrong way a couple of times but eventually reach the stairs as I went down the...,5
5,"Reviewed 29 December 2016
",American West,I spent a number of days at Wreck Beach in the summer of 2015. I was there with my girlfriend.The location is beautiful. The water is nice and refreshing. The opportunity to swim without clothes is great. There were a lot of people enjoying that option. All in all it was a great experience. Both my girlfriend and I...,4
6,"Reviewed 18 October 2016
","Vancouver, Canada","Noisy lots of illegal drugs, naked old men if that's your taste. Now overrun with vendors and noisy young adults, not a great atmosphere if you want somewhere quiet to relax.",2
7,"Reviewed 16 September 2016
","Reykjavik, Iceland",If you walk down by the botanical gardens there is a small beach; then a walk between the trees for about 20 minutes walk to the beach.The walk is fun and there is a small beach on the way.The beach it self is 3 and a half star. There are alot of logs on the beach and between...,4
8,"Reviewed 30 August 2016
","San Diego, California","One of the reasons my nephew and I visited this beach was the challenge of going down the ~500+ steps from the street to the beach. It was on a weekend afternoon and it was very crowded. The beach itself was ordinary, nothing to brag about except for the ""clothing optional"" aspect. Mostly younger people were naked, but there were...",3
9,"Reviewed 26 August 2016
","Vancouver, Canada","I just came back from Wreck beach. First time to the nude beach but I was aware that people will be naked there. Well, it was not bad. Fine. The sand was mixed with branches and some unknown trashes everywhere so it was not that soft between my toes.I have to mention this first though- I don't know why...",2
10,"Reviewed 26 August 2016
","Vancouver, Canada","Guess I'm just jaded, not easily shocked, or more refined but either way this is a great way to experience ""something different"" :)",5
11,"Reviewed 23 August 2016
","Vancouver, Canada","\\\there are cleaner beaches, This is popular but I don't want to hang around a bunch of naked people jumping around. and I am uncomfortable people staring at me. Its not like Paris.",3
12,"Reviewed 19 August 2016
","Edinburgh, United Kingdom","We didn't realise this beach is optional nudist. We went down the many steps though the forest to be greeted by some folks surveying the appetite for nude beaches. A woman behind us was taking photos of the view across to Vancouver Island and there followed an irate exchange, during which they tried to force her to delete all her...",4
13,"Reviewed 17 August 2016
","Ellicott City, Maryland","Did you know this was a nude beach? Well, I didn't, only a mild shock, I was still panting from the 400+ steps we walked down. Really quite a cool beach - lots of logs scattered as if Pail Bunyan threw them. Seriously, if you go, wear sneakers to do the steps and flip flops or water shoes to walk...",5
14,"Reviewed 26 July 2016
","Vancouver, Canada","I live near Wreck Beach and so spend a lot of time on the beach in the cooler months. There are between 200-400 steps down the cliffs, depending on your access point, and there are no facilities at beach level. The beach is quite crowded on hot summer days, and there is a wide variety of people who use it....",5
15,"Reviewed 21 July 2016
","Dubai, United Arab Emirates",This clothing optional beach is amazingly beautiful and makes for a great place to spend an entire day. Also makes you work out with all the stairs that you have to climb!It's perfect as there were very few people and is a secluded quiet place just the way I like it :),5
