,0,1,2,3
0,"Reviewed 3 days ago
","Mississauga, Canada","Yorkville is a fun place to visit in Toronto. It can be quite pricey, so you may need to do more window shopping than shopping, but it really is a beautiful place to grab a coffee and take a walk.",5
1,"Reviewed 1 week ago
",,"A very artistic place located in the middle of Toronto. Very different to the city itself, it plays host to the artists of the area. Fantastic art shops with little cafes and restaurants. Its a beautiful place to visit but be careful of the spending as it can get very expensive.",4
2,"Reviewed 1 week ago
","Toronto, Canada","I enjoy this area in the summer, book early if you want to eat, it is very busy. It is a place to be seen",4
3,"Reviewed 2 weeks ago
","Toronto, Canada","This area is for expensive tastes. Well worth going and walking along. A few condo buildings have been erected in the past few years, which has spoilt the area. Used to be a lot nicer. Very popular for tourists and worth going to see.",4
4,"Reviewed 2 weeks ago
","Toronto, Canada",Shopping galore. Restaurants everywhere. Extremely busy especially when the winters over. Might say this is the place The Fashionable Visit.,5
5,"Reviewed 2 weeks ago
",,"I like this neighbor as it is convenient to a lot of shops and restaurants, museums and University of Toronto. It is an area suitable for walking.",5
6,"Reviewed 2 weeks ago
","Toronto, Canada",Yorkville is a great area to walk through but they are changing. All the stores that once made it great are being closed to make way for condos.There is still plenty to see and do but not like there was before. Even TIFF bailed on the area a few years ago in favor of King Street and the entertainment...,5
7,"Reviewed 3 weeks ago
","Barrie, Canada",The streets in Yorkville are very fun and clean to walk around and do a little shopping. There are plenty of windows to look at and also many restaurants and bars to stop at along the way. This is one of my favourite areas of the city.,4
8,"Reviewed 4 weeks ago
","Calgary, Canada","I left Toronto and moved west nearly 40 years ago. Yorkville was changing then from its 1960's hippie scene which I frequented often. Great bars; music venues; strange people, and the occasional celebrity sighting..Yorkville was Canada's Haight Ashbury. Today all of that is gone. It started when the Four Seasons hotel opened in the 1970's, gradually the nightclubs became high...",4
9,"Reviewed 5 weeks ago
","London, Canada","High end stores, unique shops and a variety of restaurants , patios and people watching . A glass of wine on an outdoor patio makes for an interesting afternoon watching the world go by.",5
10,"Reviewed 16 February 2017
","Toronto, Canada",Back in the 60's this was hippy town that now got transferred to yuppy town. Not quite what it used to be because of all the construction and high-rise building going on.,4
11,"Reviewed 14 February 2017
","Toronto, Canada",there are a very wide variety of restaurants here most a little priceythere is also mega shopping at most price levelsthe people watching is off the charts,4
12,"Reviewed 14 February 2017
","Toronto, Canada","great to walk around and visit the different small shops and the fancy small shopping centre. make sure you go for lunch or dinner in one of the cafes. if the weather is good i suggest to get an outdoor table. a place to watch fashion.it is a high class, european style street.",5
13,"Reviewed 12 February 2017
","Toronto, Canada",We always go walking on Yorkville.Went there yesterday even with the snow it is beautiful.Great restaurants and coffee bars.Can walk to young street and blood from there.Also walk to parallel Cumberland crescent.,5
14,"Reviewed 8 February 2017
",,Love Yorkville as tons of unique shops and restaurants. Explore all around Yorkville and Cumberland streets. Stop for afternoon tea at the Four Seasons or Windsor Arms or hit the spa at various hotels or shops. Take in a movie or hit one of the bars offering music and bands.,5
15,"Reviewed 4 February 2017
","Newmarket, Canada",We were driving guests from out of town through Toronto late at night and drove through Yorkville. It was lit up all over the place soon after Christmas was over. I hadn't been there in over 20 years and was pleasantly surprised at how much development there was and is now one of my favorite spots to go dine on...,5
16,"Reviewed 1 February 2017
","Mississauga, Canada",Yorkville is a nice area of Toronto to visit. During the week there are lots of shops available as well as restaurants to pick from any culture. Just bring your big wallet :),5
17,"Reviewed 22 January 2017
","Toronto, Canada","Lots of unique stores and good restaurants. If not the most, one of the more expensive areas in TO. Some good restaurants however the location results in higher prices.Many well-heeled people frequent the area. One downside is some of the people you meet are showy, pay too much attention to brands and too interested in status/wealth.",4
18,"Reviewed 19 January 2017
","Dubai, United Arab Emirates","Nice area. Lovely walks through university grounds. Try it, some cool buildings. Lots of high end shops if you like that sort of thing but character comes from the buildings along the street and churches dotted around.",4
19,"Reviewed 18 January 2017
","Toronto, Canada","This is what Yorkville is for. Showing your fancy cars and spending money on designer clothes. Style for sale. Sorry, as a Toronto born citizen, Yorkville is a loss from the coolest to the least cool. There are some good restaurants and ice cream though.",3
20,"Reviewed 15 January 2017
",MISSISSAUGA,"Centrally located , subway or bus can get you to Yonge and Bloor area. Short block north. Trendy restaurants, boutiques, bars . Some interesting stores to see.",5
21,"Reviewed 7 January 2017
","Toronto, Canada","Lot's of high end boutiques, stores, restaurants etc where you can drop a load $$$. There are some more reasonably priced establishments as well. The Nespresso cafe is a place to grab a nice Espresso or Latte and a danish. Hemingways rooftop patio is a great place for brunch in the warmer months.",5
22,"Reviewed 5 January 2017
","Whitchurch-Stouffville, Canada",Yorkville is an upper-scale avenue that holds posh shops with expensive restaurants. There is an abundance of coffee shops and stores. A beautiful place to be.,4
23,"Reviewed 3 January 2017
",,near my school and home! I always go there for gelato! nice litte shopping and dinning area to visit.,5
24,"Reviewed 21 December 2016
","Toronto, Canada","Great to stroll the streets and window shop, some of the nicest shops in Toronto. Known as the Fifth Avenue of Toronto.",5
25,"Reviewed 6 December 2016
","Fairhope, Alabama","This was perhaps our favorite area we visited while in Toronto. It is definitely an upscale, but not ""snooty"", part of town. The area is full of fun shops and art galleries (the best art gallery options in Toronto, especially featuring Canadian artists), as well as bars and restaurants. We loved simply walking around the area. Put this area on...",5
26,"Reviewed 4 December 2016
","Zurich, Switzerland","Very enjoyable walking around in this neighborhood with tns of chic shops, nice chic visitors and good small food places and good eating too.",5
27,"Reviewed 28 November 2016
",nf.,"wasn't what you would call part of it ,,,but remember many times walking through yorkville ,,,was so quiet , peaceful ,,unreal ,,,changed a lot over the years ,,but , memories still there ,,,like to go by for a visit when i'm around ,,,memory lane",4
28,"Reviewed 28 November 2016
","Southport, CT","Now this is the place you go in Toronto, if you want to shop at fashion houses such as Celine, Hermes, Louis Vuitton, Armani, jewellery houses such as Tiffany's, Bulgari, and art galleries.Celebrity viewing and restaurants and hotels on the luxe end are all dotted here.",4
29,"Reviewed 20 November 2016
",,"Bring your wallet, there are lots of amazing stores in 1 km radius. You will not leave empty-handed-I assure you! Check out Sorry coffee or Tutti for great coffee.",5
30,"Reviewed 16 November 2016
","Chicago, Illinois","Yorkville is like most of the world's high-end shopping districts. It has a nice selection of shops, but for those people living in the world's major cities, it can easily be skipped.",3
31,"Reviewed 12 November 2016
","Toronto, Canada","Quaint little section of the city. Very exclusive and expensive and it feels like it! Great coffee shops and one of the best deli's in the city -Pusateri's. Yorkvilke is the place to people watch and be seen. Cute streets and back alleys, fantastic bistros and a fine spit to celeb watch.",4
32,"Reviewed 2 November 2016
","Toronto, Canada","It's just a street. Nothing special. Sometimes on summer nights, it has a European feel because of street performers. Other than that, just insanely priced boutiques and shops (not for the sane). Not even a nice place for a stroll.",2
33,"Reviewed 1 November 2016
",Merseyside,"Yorkville is a great place to browse and people watch. Some rather expensive shops but great to look, see how the other half live. Great places to eat and drink. Would definitely visit again.",5
