,0,1,2,3
0,"Reviewed 6 days ago
","Vancouver, Canada","We enjoyed this interpretive centre very much. The staff were friendly, the dioramas were gorgeous, and there was a lot to see and touch.",4
1,"Reviewed 1 week ago
","Victoria, Canada","With regular films, several skeletons (including a mammoth) AND friendly and knowledgeable interpreters, this was well worth adding this to our time in Whitehorse. Our 4 yr old made a great craft with one of the staff and our 2 yr old was free to roam wherever we went. The only thing to be mindful of is their opening hours...",5
2,"Reviewed 1 week ago
","Comox Valley, Canada","What an amazing interpretive centre, so inexpensive.Staff extremly helpful & attentive.Interactive displays exceptional.Wonderful for all ages & families.",5
3,"Reviewed 14 February 2017
","Vancouver, Canada",The staff here are incredibly knowledgble! We went during a quiet time and they gave us a lot of attention and were quite flexible. We did everything thoroughly and we easily spent 2 hours here. I got the combined admission here with the Museum of Transportation (across the parking lot) for $12. Great deal for easily 4 hours of museum...,5
4,"Reviewed 18 January 2017
",,This center is a great historical learning center of prehistoric mammals and how they are discovered. I recommend this for any tourist or local to see at least once.,4
5,"Reviewed 23 December 2016
","Langley, British Columbia","Weren't too many visitors on the day I went, so got an excellent personal tour by one of the staff. Some interesting videos that put everything into context as well.",5
6,"Reviewed 28 November 2016
","Brampton, Canada","Was interesting, saw a short film was very educational wish they had more to show as far as exhibits, understand it may not be busy as it is a small town but was a nice quick visit.",5
7,"Reviewed 26 November 2016
","Ottawa, Canada","Not easy to visit without a car, the Centre, operated by Yukon Tourism and Culture, opened our eyes to the existence of the remains of ice-age mammals in the Yukon, and should not be missed. In fact, at least half a day should be put aside to grasp the unique life in Beringia, the name given to the region encompassing...",5
8,"Reviewed 12 October 2016
",,"The Beringia was oh my gosh fantastic! It was a great experience, very knowledgeable staff, interactive exhibits and great videos that matched the information given in the centre. They have interpretive trails leading from the parking lot to the centre. It was close to the airport and it shared the same driveway as the museum of transportation.",5
9,"Reviewed 11 October 2016
",Cape Town,wow...what an amazing museum run by enthusiastic staff !! a must visit for young and old. The movies are very interesting and suitable for most ages.,5
10,"Reviewed 10 October 2016
","West Vancouver, Canada","Incredible place, well set up, great displays and excellent staff. If you go to no other museum in town, this is the one not to miss. Really brings home just how easy it is to get animals and people across the continents. Spent a few hours here and could easily have spent more, but it stopped raining....",5
11,"Reviewed 22 September 2016
","Livingston, Texas",This place has great exhibits and movies. A must for anyone wanting to know about the ancient land bridge that helped people and animals populate North America.,3
12,"Reviewed 20 September 2016
",,Guides and staff extremely knowledgeable and proud of their facility - as they should be. I was so thrilled at what I leaned here . The information about the last ice age in this area enhanced every other activity that I did on my trip to Whitehorse as it gave such an excellent context to the area.,5
13,"Reviewed 19 September 2016
","Warsaw, Poland","Modern museum, with some artefacts, displays, movie showing and live presentation. Will interest any ages, perhaps even will prevent your teenagers from texting. We did enjoy. On top of that we did receive very worthwhile tip on local lunch place. Go and enjoy.",4
14,"Reviewed 18 September 2016
","Edinburgh, United Kingdom","You can get the 3 bus to here, and combine with the Transportation Museum to make an exceptional visit.Considering this is in the heart of a sparsely populated country, it is an excellent museum.Covering in detail the geology, geography and ecology, it explains in easily understood terms, the creation, evolution, and destruction of the massive area that was...",5
15,"Reviewed 16 September 2016
","Val Marie, SK",I really enjoyed the 30 minute video about Berigina. I learned and alot! This museum is suitable for small groups with varied interests. Take at least an hour to see and enjoy. Guided tours are available.,3
16,"Reviewed 13 September 2016
","Haida Gwaii (Queen Charlotte Islands), Canada",This was a great little place exploding in history.Great displays inside and out.Loved the short faced bear and of course the mammoth.Not really pricey to enter the facility and your kids will love it.,5
17,"Reviewed 12 September 2016
","Whitehorse, Canada","Full mammoth skeleton, giant beavers, sabre tooth tigers, oh my! Theatre and lots of cool stuff for kids.",5
18,"Reviewed 9 September 2016
","Battle Ground, Washington","Good exhibit that pulled together all the various reasons for global warming, explaining how Beringia was formed multiple times. I learned new information about the glaciation of North America, how and why the ice left a gap that allowed for migration from Asia. Fun atlatl demonstration not just for kids.",5
