,0,1,2,3
0,"Reviewed 1 week ago
","Vancouver, Canada","We were assisted by the most wonderful, friendly person. I wish I'd gotten her name. She told us everything we needed to know and answered all of our questions. What a warm welcome to Whitehorse!",5
1,"Reviewed 1 week ago
","Comox Valley, Canada","Staff so very accommodating, movie worthwhile taking the timeto view.Brochures available providing a multitude of travel options & information.",5
2,"Reviewed 1 week ago
","Saskatoon, Canada","Make this your first stop (after one of the delectable coffee/café/bakeries). Full of information, with helpful volunteers and enough pamphlets to make any tree hugger cringe. Make sure to watch the 15 minute video on the Yukon.",4
3,"Reviewed 4 weeks ago
","Sherwood, AR","On the surface it is like most visitor centers. Ample supply of brochures and maps of local and regional attractions. A small set of museum type displays.One of the interesting (at least to me) displays is very large 3d wall map of the Yukon Territory. Press buttons to light up the various communities, to highlight roads and such. It...",5
4,"Reviewed 14 February 2017
","Alberta, Canada",I stopped in here because I heard that you can get a three day visitor parking pass. Well it is true! Friendly and helpful staff who also gave me a few whitehorse pins. Thank you!,5
5,"Reviewed 14 February 2017
","Vancouver, Canada","Great place to look into what to do in Whitehorse. The guide there was extremely pleasant and friendly. It's also nice and close to the Yukon River in the back, so it's a nice spot to walk around after when you're figuring out your itinerary.",5
6,"Reviewed 8 February 2017
","Haines, Alaska",The Yukon Visitor Center is located convenient to downtown Whitehorse Yukon. It not only offers information about Whitehorse in the Yukon but also the surrounding areas of Alaska. So you can pick up free maps lodging and other information along with seeing displays of local items of Art and gems and minerals. One neat thing that you can obtain their...,5
7,"Reviewed 21 January 2017
","Gilbert, Arizona",Normal visitor center. They do have a pretty cool interactive map. The gemstones that are on display are very pretty too.,3
8,"Reviewed 20 January 2017
",,The ladies working here have a great attitude of service and help us a lot giving the right information.,5
9,"Reviewed 18 January 2017
","Chadds Ford, Pennsylvania",Very friendly staff that helped get us organized for our all too short visit in Whitehorse. They didn't hesitate to make phone calls for us and check things on the internet for us.Also helped with some history of the area.,5
10,"Reviewed 3 January 2017
",,"I thought I would be able to get some help planning my improvised trip up north in here. The ladies tried their best and always smiled, but when it came to ""where to go besides Whitehorse"" they weren't that much helpful. I would suggest that they call ot Whitehorse infomatiom centre, since they know a lot about activities there... but...",2
11,"Reviewed 29 December 2016
",,"Informative maps, films and artifacts providing historical perspective as well as natural history information.",5
12,"Reviewed 22 December 2016
","Mexico City, Mexico","The place is very well maintained and ends up being really informative. If it is not playing, ask for the history video. Its like 10 minutes and it is well worth it.",5
13,"Reviewed 19 December 2016
",Whitehorse,Staff are very friendly and have good information. There are lots of pamphlets and maps and also some interesting info about the local attractions.,5
14,"Reviewed 2 December 2016
","Melbourne, Australia",Would not hesitate in referring anyone to visiting this centre. Very helpful and great and interesting things to look at.,5
