,0,1,2,3
0,"Reviewed 6 days ago
","Vancouver, Canada",We had a wonderful time. It's a terrific way to spend as much or as little time outside walking as you want. There is a shorter loop if you prefer. It was a gorgeous day and we enjoyed it for 2 1/2 hours but that was taking our time. Don't miss it if you want to see the animals of...,4
1,"Reviewed 1 week ago
","Victoria, Canada","With a 2 and 4 yr old we opted for the bus tour - well worth it! Not just to get a chance to see the whole preserve, but also for the guided tour. I didn't think we'd actually get to see some of the smaller animals and we did! Lynx and arctic fox as well as the larger animals....",5
2,"Reviewed 1 week ago
",,A must when visiting Yukon. The tour bus guide was great. Had a lot of stories about their resident animals. Highly recommend a tour of the Yukon Wildlife Preserve by bus or just a leisurely walk around.,5
3,"Reviewed 2 weeks ago
",,Visited last summer and it was cool to see some animals I've never seen before. It's great that they are helping animals,5
4,"Reviewed 3 weeks ago
",,"This is a great place to take your kids so they can learn about wildlife. The bus tour is really good. If you have small kids or younger kids who can't walk far, being a cart or stroller. It's a LONG, unmanageable walk for kids.",4
5,"Reviewed 3 weeks ago
",,"We had a private tour by Lindsay, who was wonderful in explaining the purpose of the centre and drove us to see the animals under their care. Thrilled to see the lynx, arctic fox, muskox among others.",5
6,"Reviewed 4 weeks ago
","Sherwood, AR","We were able to do a mid-week ""behind the scenes"" tour to get closer to the animals they are rehabbing in addition to touring the grounds like the regular tour.Just seeing the wildlife up close makes this an interesting visit.Add to that the mission of trying to insure the species of the Yukon continue to be present in...",4
7,"Reviewed 4 weeks ago
","Whitehorse, Canada",I love the animals. They look cared for and kept in great shape. The staff are knowledgeable and care deeply for the animals. Great family walk and in the summer a great bike ride as well.,5
8,"Reviewed 4 weeks ago
",Whitehorse,"Want to view Yukon wildlife only a short distance from downtown Whitehorse? Yukon Wildlife Preserve offers visitors views of fourteen or more species, ranging from elk, moose, bison, caribou, Arctic and red foxes, mountain goats and sheep, mule deer etcfrom the perspective of a gravel road that wends its way in a giant five kilometre figure eight past field,...",5
9,"Reviewed 4 weeks ago
","Edmonton, Canada","Temperature about -26C. Lots of game, some quite curious, others cautious but not extremely frightened. Bison, elk, caribou, musk oxen, mountain goats, fox, arctic fox, mountain and Dall sheep and lynx, moose,all within easy distance. 8km trail to follow and made an easy walk. Grades not difficult and the terrain changed substantially, suiting the animals well. Really enjoyed the refreshing...",5
10,"Reviewed 5 weeks ago
","Vancouver, Canada","We did a private bus tour with Who What Where Tours and it was great! The tour was about 2 hours I think, and we were able to take our time, not rushing at each location with each animal. It is very nice to see that each animal has a HUGE space to roam around, such as fields, and mountains...",5
11,"Reviewed 14 February 2017
","Vancouver, Canada",It's 5km walk and it's also great for cross country skiiers! Saw lots of animals and they were amazing! Highly recommend,5
12,"Reviewed 14 February 2017
","Whitehorse, Canada","a little pricey for just a walk...beautiful scenery, and amazing wildlife....signage easy to follow and knowledgeable....",4
13,"Reviewed 14 February 2017
","Adelaide River, Australia","A wonderful way to see the animals in the most natural environment. The walk around the preserve was pretty easy even in ankle deep snow. We took some snacks to enjoy while taking in the scenery along the way on well positioned benches found all along the trail, which I recommend doing if travelling with children.",4
